2.67	10.7	7
5.67	5.67	2
9.33	1.33	7
2.33	5.67	8
7.33	0.667	7
7.33	1.33	5
9.67	8.33	2
0.333	7.67	8
0	5	9
5	6	4
12	7	9
5	0	10
10	5	9
10	5	7
9	10	0
3	2	10
0	8	7
5	5	2
12	4	7
5	3	8
10	2	7
10	2	5
9	9	2
3	5	8
1.5	9.25	7
5.5	4.75	2
10.5	2.75	7
3.5	4.25	8
8.5	0.75	7
8.5	1.75	5
9.5	8.75	2
1.5	6.25	8
2.67	10.7	7
5.67	5.67	2
9.33	1.33	7
2.33	5.67	8
7.33	0.667	7
7.33	1.33	5
9.67	8.33	2
0.333	7.67	8
2.67	10.7	7
5.67	5.67	2
9.33	1.33	7
2.33	5.67	8
7.33	0.667	7
7.33	1.33	5
9.67	8.33	2
0.333	7.67	8
2.67	10.7	7
5.67	5.67	2
9.33	1.33	7
2.33	5.67	8
7.33	0.667	7
7.33	1.33	5
9.67	8.33	2
0.333	7.67	8
0	5	9
5	6	4
12	7	9
5	0	10
10	5	9
10	5	7
9	10	0
3	2	10
0	8	7
5	5	2
12	4	7
5	3	8
10	2	7
10	2	5
9	9	2
3	5	8
1.5	9.25	7
5.5	4.75	2
10.5	2.75	7
3.5	4.25	8
8.5	0.75	7
8.5	1.75	5
9.5	8.75	2
1.5	6.25	8
2.67	10.7	7
5.67	5.67	2
9.33	1.33	7
2.33	5.67	8
7.33	0.667	7
7.33	1.33	5
9.67	8.33	2
0.333	7.67	8
2.67	10.7	7
5.67	5.67	2
9.33	1.33	7
2.33	5.67	8
7.33	0.667	7
7.33	1.33	5
9.67	8.33	2
0.333	7.67	8
2.67	10.7	7
5.67	5.67	2
9.33	1.33	7
2.33	5.67	8
7.33	0.667	7
7.33	1.33	5
9.67	8.33	2
0.333	7.67	8
